step,sps,avg_train_reward,best_eval_metric,wall_time,alpha
1070000,225,-19.5523,-2.9875,4741.0,0.200000
1075000,226,-18.8062,-2.9875,4755.8,0.200000
1080000,226,-19.9897,-2.9875,4770.2,0.200000
1085000,226,-19.8194,-2.9875,4800.3,0.200000
1090000,226,-17.7886,-2.9875,4814.9,0.200000
1095000,226,-18.2154,-2.9875,4829.5,0.200000
1100000,227,-15.4092,-2.9875,4844.7,0.200000
1105000,226,-15.8903,-2.8238,4875.2,0.200000
1110000,227,-16.7252,-2.8238,4889.6,0.200000
1115000,227,-20.5096,-2.8238,4905.0,0.200000
1120000,227,-20.7605,-2.8238,4919.4,0.200000
1125000,227,-21.6483,-2.8238,4949.1,0.200000
1130000,227,-22.6328,-2.8238,4964.2,0.200000
1135000,227,-21.3022,-2.8238,4978.9,0.200000
1140000,228,-22.5449,-2.8238,4994.2,0.200000
1145000,227,-22.7676,-2.8238,5026.2,0.200000
1150000,228,-20.5426,-2.8238,5040.7,0.200000
1155000,228,-20.4519,-2.8238,5055.6,0.200000
1160000,228,-19.7822,-2.8238,5068.8,0.200000
1165000,228,-17.4171,-2.4085,5099.4,0.200000
1170000,228,-17.9923,-2.4085,5113.9,0.200000
1175000,229,-14.7797,-2.4085,5128.4,0.200000
1180000,229,-17.0866,-2.4085,5142.3,0.200000
1185000,229,-17.9242,-2.4085,5172.7,0.200000
1190000,229,-19.5787,-2.4085,5187.2,0.200000
1195000,229,-21.1234,-2.4085,5201.8,0.200000
1200000,230,-20.6886,-2.4085,5216.0,0.200000
1205000,229,-20.1760,-2.4085,5246.1,0.200000
1210000,230,-19.5848,-2.4085,5260.5,0.200000
1215000,230,-21.0225,-2.4085,5275.0,0.200000
1220000,230,-22.2703,-2.4085,5289.4,0.200000
1225000,230,-22.2433,-2.0947,5320.0,0.200000
1230000,230,-22.5597,-2.0947,5334.4,0.200000
1235000,230,-20.7296,-2.0947,5348.0,0.200000
1240000,231,-19.8388,-2.0947,5362.5,0.200000
1245000,230,-18.6074,-2.0947,5394.8,0.200000
1250000,231,-18.7041,-2.0947,5409.1,0.200000
1255000,231,-20.9290,-2.0947,5422.6,0.200000
1260000,231,-22.4294,-2.0947,5437.2,0.200000
1265000,231,-22.3706,-2.0947,5468.7,0.200000
1270000,231,-22.8060,-2.0947,5482.3,0.200000
1275000,231,-19.1816,-2.0947,5496.7,0.200000
1280000,232,-18.8153,-2.0947,5511.9,0.200000
1285000,231,-20.5775,-2.0947,5542.3,0.200000
1290000,232,-18.8362,-2.0947,5555.5,0.200000
1295000,232,-19.7678,-2.0947,5569.9,0.200000
1300000,232,-17.1593,-2.0947,5584.5,0.200000
1305000,232,-17.6209,-1.9437,5615.1,0.200000
1310000,232,-17.8916,-1.9437,5628.8,0.200000
1315000,233,-18.8487,-1.9437,5643.6,0.200000
1320000,233,-19.3575,-1.9437,5658.0,0.200000
1325000,232,-17.7051,-1.9437,5687.2,0.200000
1330000,233,-17.7941,-1.9437,5701.8,0.200000
1335000,233,-16.2096,-1.9437,5716.2,0.200000
1340000,233,-16.6532,-1.9437,5730.7,0.200000
1345000,233,-17.7121,-1.9437,5760.5,0.200000
1350000,233,-18.7234,-1.9437,5775.1,0.200000
1355000,234,-17.4117,-1.9437,5789.9,0.200000
1360000,234,-16.4081,-1.9437,5805.2,0.200000
